OBJECTID,LANDUSECODE,LANDUSEDESC,LASTUPDATE,LASTEDITOR,DENSITY,FAR,HISTORY,ACRES,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,GLOBALID,UNITCOUNT
2344,LDC,Low-Density Commercial,,, , , ,0.22748398,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:15.000Z,{A5FE3D25-3B88-4B8D-91D7-747618388006},231.1
2345,LDC,Low-Density Commercial,,, , , ,24.40622582,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:15.000Z,{97067B8B-7491-4EC2-9D87-1244827D6505},0
2346,O-I,Office/Institutional,,, , , ,0.66253771,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:15.000Z,{7EDB9309-0A0F-48E5-A03F-7756DC78255D},0
2347,LDR,Low-Density Residential,,, , ,MDR,0.26222902,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:15.000Z,{F664065E-EA9C-4178-8257-E3E6C0575821},4.2
2348,MU,Mixed-Use,,, , , ,5.23474969,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:15.000Z,{552EEEC5-250F-4EA8-8526-0A2B9DF7154B},0
2349,LDC,Low-Density Commercial,,, , , ,0.20778522,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:15.000Z,{B230173D-D157-4083-8355-44DB21F1C7AC},0
2350,MU,Mixed-Use,,, , , ,4.54552282,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:15.000Z,{487BE028-057F-46A9-8FDD-A2D1F3DA9BBB},0
2256,MU,Mixed-Use,,, , , ,9.66342601,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:15.000Z,{09171597-E7A4-4C5F-93C8-DDEF2BD7A2AB},0
2257,LDR,Low-Density Residential,,, , , ,9.79219152,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:15.000Z,{252BF76E-C6F5-414F-8A01-2CA6823FABD1},78.3
2258,MDR,Medium-Density Residential,,,0-16, , ,13.75794912,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:15.000Z,{9DF6B766-98EA-405D-9FFB-27E451EEDBC0},220.2
2259,SFR,Single-Family Residential,,, , , ,33.33717508,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:15.000Z,{94ADE787-D7CC-47A2-8D35-F148C2955FB9},68.5
2260,OS,Open Space,,, , , ,5.84941466,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:15.000Z,{36F3AFE2-E47B-417C-88C3-9C5CAE42CFEF},0
2261,OS,Open Space,,,0-8, , ,23.94121092,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:15.000Z,{B5A677F6-C02F-4688-9E4A-A3399FC559A7},191.5
2262,MDR,Medium-Density Residential,,,0-16, , ,12.43576319,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:15.000Z,{B839917D-4E71-441D-9F0D-762FF9FC7804},199
2263,MU,Mixed-Use,,, , , ,137.09864182,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:15.000Z,{5A3B8ADD-0F5D-416B-B5D7-09EC3724CE6F},0
2264,MU,Mixed-Use,,, , ,LDC,86.31461644,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:15.000Z,{4676C226-3C02-41D7-B964-09D21ECD7E64},0
2265,MDR,Medium-Density Residential,,,0-16, , ,80.87290165,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:15.000Z,{C237C0C4-BB7F-4A62-B31C-C3973BA39268},1294.1
2266,HDR,High-Density Residential,,, , , ,15.60642233,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:15.000Z,{5C92EAB6-091F-441E-9A9A-A519952643B9},399.3
2267,I,Industrial,,, , , ,970.14992254,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:15.000Z,{9FCAB430-20CB-4C59-B7A8-B39AAF74BCC1},0
2268,O-I,Office/Institutional,,, , , ,95.17945309,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:15.000Z,{50EEBEB9-2001-4E86-9940-EEF706E9DEB2},0
2269,MDR,Medium-Density Residential,,,0-16, , ,12.3209708,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:15.000Z,{E58C141E-FFBA-4539-9AC9-81ADE844C6A9},197.1
2270,I,Industrial,,, , , ,35.68220867,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:15.000Z,{FA3BC279-9849-460F-8315-1232F26CC807},0
2271,OS,Open Space,,, , , ,22.49126943,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:15.000Z,{CFACB7F3-598D-4F72-8D3B-A29B27224F96},0
2272,HDR,High-Density Residential,,, , , ,19.69257704,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:15.000Z,{6E822B16-7122-40FD-8096-270D17B4828D},571
2273,OS,Open Space,,, , , ,10.76523454,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:15.000Z,{6D506F62-6B06-41FC-B813-C13FF5A9BA0A},0
